id,web_name,team,pos,now_cost,cost_change_event,selected_by_percent,transfers_in_event,transfers_out_event
1,Raya,ARS,GK,61,1,42.2,113808,40403
2,Arrizabalaga,ARS,GK,49,0,0.1,88,214
3,Meslier,ARS,GK,49,0,0.0,41,102
4,Gabriel,ARS,DEF,80,0,22.8,20339,59088
5,J.Timber,ARS,DEF,65,0,0.4,10525,3386
6,Saliba,ARS,DEF,59,0,0.2,327,962
7,Lewis-Skelly,ARS,MID,54,-1,0.6,756,4544
8,Calafiori,ARS,DEF,58,0,50.5,65739,55453
9,Hincapie,ARS,DEF,52,-1,0.9,1242,5202
10,White,ARS,DEF,55,0,5.0,3175,59916
11,Mosquera,ARS,DEF,53,0,1.6,1023,8285
12,Saka,ARS,MID,95,0,13.6,89072,40736
13,Rice,ARS,MID,74,0,11.8,7195,68401
14,Eze,ARS,MID,63,0,1.0,1898,5983
15,Ødegaard,ARS,MID,68,0,19.8,65481,78796
16,Madueke,ARS,MID,62,0,0.2,653,1405
17,Merino,ARS,MID,58,0,0.4,589,2586
18,Martinelli,ARS,MID,63,0,0.1,0,482
19,Zubimendi,ARS,MID,53,0,0.6,419,3325
20,Dowman,ARS,MID,53,0,0.1,393,509
22,Nwaneri,ARS,MID,54,0,0.0,0,46
23,Fábio Vieira,ARS,MID,55,0,0.0,0,34
24,Nelson,ARS,MID,55,0,0.0,0,16
25,Gyökeres,ARS,FWD,71,-1,3.1,5396,14607
26,Havertz,ARS,FWD,76,0,8.5,49560,42766
27,G.Jesus,ARS,FWD,59,0,0.1,0,842
31,Konsa,ARS,DEF,46,1,19.4,80833,39196
452,Bruno G.,ARS,MID,67,0,1.8,4640,6661
557,Tzolis,ARS,MID,63,-1,12.3,10263,129578
29,M.Bizot,AVL,GK,45,0,0.1,52,891
30,Digne,AVL,DEF,45,0,0.0,0,190
32,Cash,AVL,DEF,44,0,4.9,2324,22597
33,Mings,AVL,DEF,45,0,0.4,1440,1199
34,Pau,AVL,DEF,45,0,0.3,37,2804
35,Bogarde,AVL,MID,49,-1,0.1,151,401
36,Maatsen,AVL,DEF,44,-1,0.5,48,5541
37,Lindelöf,AVL,DEF,45,0,0.3,851,1122
38,A.García,AVL,DEF,40,0,1.5,1618,5347
39,Nedeljkovic,AVL,DEF,40,0,0.1,0,478
41,Buendía,AVL,MID,59,0,1.0,10552,3504
44,Bailey,AVL,MID,54,0,0.1,0,420
45,McGinn,AVL,MID,54,0,2.2,5920,7380
46,Barkley,AVL,MID,50,0,0.3,488,1593
47,Kamara,AVL,MID,50,0,0.3,1112,1390
48,Onana,AVL,MID,49,0,0.0,32,78
49,Iling Jr,AVL,MID,50,0,0.0,0,9
50,Burrowes,AVL,MID,45,0,0.6,553,3007
51,George Hemmings,AVL,MID,45,0,1.2,2829,8739
52,Alysson,AVL,MID,50,0,0.0,63,693
53,Manzambi,AVL,MID,59,0,0.4,25758,2539
54,Gomes,AVL,MID,55,0,0.0,383,155
55,Watkins,AVL,FWD,78,0,2.5,0,10581
56,Abraham,AVL,FWD,55,0,0.2,1410,1515
160,Garnacho,AVL,MID,58,0,0.3,441,2477
166,N.Jackson,AVL,FWD,65,0,1.4,29785,6686
582,Madjo,AVL,FWD,54,0,0.2,160,1608
596,Ruggeri,AVL,DEF,45,0,0.1,445,282
597,Suzuki,AVL,GK,50,0,1.9,12146,5599
606,Rowe,AVL,DEF,40,0,0.2,270,805
607,Lynch,AVL,MID,45,0,0.1,0,626
611,Wan-Bissaka,AVL,DEF,45,0,0.2,1271,1270
618,Goretzka,AVL,MID,59,0,0.0,17,379
630,Harwood-Bellis,AVL,DEF,45,0,0.0,160,158
631,Mbaye,AVL,MID,60,0,0.1,785,1028
667,Wright,AVL,GK,40,0,0.1,6031,617
57,Petrović,BOU,GK,45,0,3.0,5165,10252
58,Forster,BOU,GK,40,0,3.5,7209,6366
59,Dennis,BOU,GK,40,0,0.1,0,487
60,Hill,BOU,DEF,55,0,0.8,2705,2669
61,Truffert,BOU,DEF,54,-1,3.0,3946,10745
62,Diakité,BOU,DEF,49,-1,0.2,418,860
63,Milosavljević,BOU,DEF,49,0,0.0,18,37
64,Smith,BOU,DEF,45,0,0.1,352,420
65,J.Araujo,BOU,DEF,44,0,0.0,29,41
66,Soler,BOU,DEF,40,0,0.3,654,992
67,Rayan,BOU,MID,63,-1,1.6,3386,8841
68,Tavernier,BOU,MID,61,0,6.7,72227,37664
69,Scott,BOU,MID,61,0,5.7,20083,34468
70,Kluivert,BOU,MID,60,0,0.9,2280,15799
71,Cook,BOU,MID,50,0,0.2,237,1031
72,Gannon-Doak,BOU,MID,49,0,0.1,124,332
73,Adams,BOU,MID,50,0,0.3,955,1458
74,Brooks,BOU,MID,50,0,0.1,159,295
75,Christie,BOU,MID,50,0,0.0,259,217
76,Tóth.A,BOU,MID,49,0,0.0,24,52
77,Adli,BOU,MID,49,0,0.0,21,65
78,Kroupi.Jr,BOU,MID,74,0,0.2,153,728
79,Evanilson,BOU,FWD,60,0,3.2,14440,18738
80,Enes Ünal,BOU,FWD,55,0,0.0,0,45
81,Rodríguez,BOU,FWD,60,0,0.1,612,625
566,Silva,BOU,DEF,50,0,0.4,4717,2581
573,Sanchez,BOU,DEF,44,0,0.2,132,375
608,Jebbison,BOU,FWD,50,0,0.1,759,784
615,Di Gregorio,BOU,GK,45,0,0.0,162,166
82,Kelleher,BRE,GK,50,0,6.1,17735,11496
83,Valdimarsson,BRE,GK,45,0,0.1,245,284
84,Collins,BRE,DEF,54,0,1.0,102,8216
85,Van den Berg,BRE,DEF,49,0,0.1,31,280
86,Lewis-Potter,BRE,MID,55,0,1.7,3336,10876
87,Ajer,BRE,DEF,45,0,3.9,9950,19823
88,Kayode,BRE,DEF,46,0,7.6,11580,18594
