id,web_name,team,pos,now_cost,cost_change_event,selected_by_percent,transfers_in_event,transfers_out_event
1,Raya,ARS,GK,61,1,42.2,117047,42250
2,Arrizabalaga,ARS,GK,49,0,0.1,93,226
3,Meslier,ARS,GK,49,0,0.0,44,108
4,Gabriel,ARS,DEF,80,0,22.8,21346,61124
5,J.Timber,ARS,DEF,65,0,0.4,11021,3564
6,Saliba,ARS,DEF,59,0,0.2,344,993
7,Lewis-Skelly,ARS,MID,54,-1,0.6,795,4654
8,Calafiori,ARS,DEF,58,0,50.5,68459,57722
9,Hincapie,ARS,DEF,52,-1,0.9,1296,5361
10,White,ARS,DEF,55,0,5.0,3195,62172
11,Mosquera,ARS,DEF,53,0,1.6,1063,8661
12,Saka,ARS,MID,95,0,13.6,94075,42350
13,Rice,ARS,MID,74,0,11.7,7301,73171
14,Eze,ARS,MID,62,-1,1.0,2000,6260
15,Ødegaard,ARS,MID,68,0,19.8,68348,81148
16,Madueke,ARS,MID,62,0,0.2,682,1462
17,Merino,ARS,MID,58,0,0.4,643,2661
18,Martinelli,ARS,MID,63,0,0.1,0,497
19,Zubimendi,ARS,MID,53,0,0.6,445,3456
20,Dowman,ARS,MID,53,0,0.1,415,532
22,Nwaneri,ARS,MID,54,0,0.0,0,48
23,Fábio Vieira,ARS,MID,55,0,0.0,0,35
24,Nelson,ARS,MID,55,0,0.0,0,18
25,Gyökeres,ARS,FWD,71,-1,3.1,6874,15260
26,Havertz,ARS,FWD,76,0,8.4,49766,49437
27,G.Jesus,ARS,FWD,59,0,0.1,0,897
31,Konsa,ARS,DEF,46,1,19.4,83549,40761
452,Bruno G.,ARS,MID,67,0,1.8,4912,6921
557,Tzolis,ARS,MID,63,-1,12.2,10694,132033
29,M.Bizot,AVL,GK,45,0,0.1,53,923
30,Digne,AVL,DEF,45,0,0.0,0,198
32,Cash,AVL,DEF,44,0,4.8,2414,23308
33,Mings,AVL,DEF,45,0,0.4,1495,1253
34,Pau,AVL,DEF,45,0,0.3,40,2898
35,Bogarde,AVL,MID,49,-1,0.1,156,412
36,Maatsen,AVL,DEF,44,-1,0.5,48,5699
37,Lindelöf,AVL,DEF,45,0,0.3,903,1157
38,A.García,AVL,DEF,40,0,1.5,1682,5559
39,Nedeljkovic,AVL,DEF,40,0,0.1,0,497
41,Buendía,AVL,MID,59,0,1.0,10925,3632
44,Bailey,AVL,MID,54,0,0.1,0,433
45,McGinn,AVL,MID,54,0,2.2,6153,7653
46,Barkley,AVL,MID,50,0,0.3,515,1646
47,Kamara,AVL,MID,50,0,0.3,1166,1431
48,Onana,AVL,MID,49,0,0.0,35,88
49,Iling Jr,AVL,MID,50,0,0.0,0,10
50,Burrowes,AVL,MID,45,0,0.6,579,3120
51,George Hemmings,AVL,MID,45,0,1.2,2941,8962
52,Alysson,AVL,MID,50,0,0.0,64,722
53,Manzambi,AVL,MID,59,0,0.4,26226,2689
54,Gomes,AVL,MID,55,0,0.0,406,170
55,Watkins,AVL,FWD,78,0,2.5,0,11146
56,Abraham,AVL,FWD,55,0,0.2,1472,1582
160,Garnacho,AVL,MID,58,0,0.3,467,2560
166,N.Jackson,AVL,FWD,65,0,1.4,31241,6974
582,Madjo,AVL,FWD,54,0,0.2,167,1635
596,Ruggeri,AVL,DEF,45,0,0.1,461,288
597,Suzuki,AVL,GK,50,0,1.9,12505,5797
606,Rowe,AVL,DEF,40,0,0.2,284,837
607,Lynch,AVL,MID,45,0,0.1,0,651
611,Wan-Bissaka,AVL,DEF,45,0,0.2,1325,1316
618,Goretzka,AVL,MID,59,0,0.0,18,389
630,Harwood-Bellis,AVL,DEF,45,0,0.0,166,165
631,Mbaye,AVL,MID,60,0,0.1,810,1048
667,Wright,AVL,GK,40,0,0.1,6359,658
57,Petrović,BOU,GK,45,0,3.0,5424,10603
58,Forster,BOU,GK,40,0,3.5,7478,6593
59,Dennis,BOU,GK,40,0,0.1,0,506
60,Hill,BOU,DEF,55,0,0.8,2822,2802
61,Truffert,BOU,DEF,54,-1,3.0,4067,11125
62,Diakité,BOU,DEF,49,-1,0.2,428,876
63,Milosavljević,BOU,DEF,49,0,0.0,21,38
64,Smith,BOU,DEF,45,0,0.1,362,435
65,J.Araujo,BOU,DEF,44,0,0.0,31,42
66,Soler,BOU,DEF,40,0,0.3,678,1029
67,Rayan,BOU,MID,63,-1,1.6,3536,9079
68,Tavernier,BOU,MID,61,0,6.7,74772,39106
69,Scott,BOU,MID,61,0,5.7,21048,35580
70,Kluivert,BOU,MID,60,0,0.9,2283,16400
71,Cook,BOU,MID,50,0,0.2,243,1067
72,Gannon-Doak,BOU,MID,49,0,0.1,128,340
73,Adams,BOU,MID,50,0,0.3,985,1508
74,Brooks,BOU,MID,50,0,0.1,160,304
75,Christie,BOU,MID,50,0,0.0,268,225
76,Tóth.A,BOU,MID,49,0,0.0,25,53
77,Adli,BOU,MID,49,0,0.0,21,69
78,Kroupi.Jr,BOU,MID,74,0,0.2,161,744
79,Evanilson,BOU,FWD,60,0,3.2,15256,19323
80,Enes Ünal,BOU,FWD,55,0,0.0,0,48
81,Rodríguez,BOU,FWD,60,0,0.1,654,651
566,Silva,BOU,DEF,50,0,0.4,5015,2824
573,Sanchez,BOU,DEF,44,0,0.2,137,394
608,Jebbison,BOU,FWD,50,0,0.1,797,816
615,Di Gregorio,BOU,GK,45,0,0.0,169,171
82,Kelleher,BRE,GK,50,0,6.1,18234,12027
83,Valdimarsson,BRE,GK,45,0,0.1,265,300
84,Collins,BRE,DEF,54,0,1.0,107,8529
85,Van den Berg,BRE,DEF,49,0,0.1,31,295
86,Lewis-Potter,BRE,MID,55,0,1.7,3416,11176
87,Ajer,BRE,DEF,45,0,3.9,10247,20707
88,Kayode,BRE,DEF,46,0,7.6,11878,19245
89,Henry,BRE,DEF,44,0,0.2,147,537
90,Hickey,BRE,DEF,45,0,0.1,162,226
92,Ji-soo,BRE,DEF,44,-1,0.0,56,83
93,Schuster,BRE,DEF,45,0,0.3,14118,1889
94,Schade,BRE,MID,62,1,11.2,361869,20756
95,O.Dango,BRE,MID,63,0,0.5,718,3352
96,Damsgaard,BRE,MID,54,0,0.4,1382,1877
97,Jensen,BRE,MID,54,0,0.1,17,582
98,Janelt,BRE,MID,50,0,2.5,17874,16307
99,Milambo,BRE,MID,50,0,0.0,6,7
100,Carvalho,BRE,MID,50,0,0.0,575,157
102,Yarmoliuk,BRE,MID,48,0,0.6,1200,2986
103,Dasilva,BRE,MID,49,0,0.0,9,94
105,Anthony,BRE,MID,59,0,0.1,2131,544
106,Thiago,BRE,FWD,78,0,9.0,49531,34355
107,Furo,BRE,FWD,45,0,0.9,555,8782
108,Wilson,BRE,FWD,54,-1,0.3,1053,2279
565,M.Sangaré,BRE,MID,56,-1,10.0,7750,132275
620,Diouf,BRE,DEF,45,0,0.1,430,617
657,Nunes,BRE,MID,45,0,0.0,313,244
660,Fredrick,BRE,DEF,40,0,0.0,476,61
661,Balcombe,BRE,GK,40,0,0.0,2670,478
109,Verbruggen,BHA,GK,45,0,21.6,65356,65681
111,Steele,BHA,GK,40,0,4.1,6563,13619
113,F.Kadıoğlu,BHA,DEF,44,0,1.6,3637,6312
114,Boscagli,BHA,DEF,45,0,0.3,1808,692
115,De Cuyper,BHA,DEF,50,1,27.6,280000,18041
116,Dunk,BHA,DEF,45,0,1.5,7424,8512
117,Coppola,BHA,DEF,45,0,0.0,100,82
118,Igor,BHA,DEF,45,0,0.0,0,258
119,Costinha,BHA,DEF,45,0,0.0,155,123
120,Svoboda,BHA,DEF,50,0,0.1,1267,422
121,Mitoma,BHA,MID,59,0,0.0,101,156
122,Minteh,BHA,MID,58,-1,0.0,43,199
123,Hinshelwood,BHA,MID,59,0,0.6,240,6233
124,Groß,BHA,MID,58,1,28.5,745485,10086
125,Georginio,BHA,FWD,53,-1,0.5,2364,3531
126,O'Riley,BHA,MID,54,0,0.1,376,520
127,Gomez,BHA,MID,50,0,4.0,11206,36160
128,Buonanotte,BHA,MID,50,0,0.0,0,6
129,Ayari,BHA,MID,54,0,0.4,2026,1821
130,Wieffer,BHA,DEF,49,0,0.2,25,1798
132,Howell,BHA,MID,45,0,0.0,0,184
133,Watson,BHA,MID,50,0,0.0,0,4
134,Oriola,BHA,MID,45,0,0.2,321,1255
135,Yohanna,BHA,MID,48,-1,0.0,19,360
137,Tzimas,BHA,FWD,54,0,0.0,30,46
138,Kostoulas,BHA,FWD,56,1,3.9,285697,15272
139,Ferguson,BHA,FWD,50,0,0.0,114,238
328,Struijk,BHA,DEF,49,0,0.2,631,712
504,Vuskovic,BHA,DEF,50,0,3.6,50357,11493
594,David,BHA,FWD,59,-1,0.2,2856,2029
600,Osman,BHA,MID,50,0,0.0,101,117
605,Yalcouyé,BHA,MID,45,0,4.0,23968,30724
614,Hadjam,BHA,DEF,45,0,0.0,231,234
624,Cozier-Duberry,BHA,MID,50,0,0.0,0,5
639,Andrés,BHA,MID,55,0,0.0,2551,273
652,Azeez,BHA,MID,55,0,0.0,16,39
