id,round,opponent_team,was_home,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,value,selected,transfers_in,transfers_out
20,1,7,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,8920,0,0
20,2,2,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,54,8233,473,2330
20,3,6,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,54,7381,608,1997
20,4,20,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,53,7072,629,1342
20,5,5,False,9,1,0,0,0,0,0,4,0,0.00,0.08,0.08,0.31,0,53,7252,878,1050
25,1,7,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,75,816962,0,0
25,2,2,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,74,650596,8776,238129
25,3,6,True,12,1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.11,1,73,466852,8161,200991
25,4,20,False,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,72,388876,6130,98178
25,5,5,False,17,1,0,0,0,0,0,5,0,0.00,0.23,0.23,0.54,0,72,342393,5156,57026
26,1,7,True,90,6,1,0,1,0,0,34,0,0.26,0.03,0.29,0.20,2,75,468616,0,0
26,2,2,False,90,2,0,0,1,0,0,5,0,0.02,0.03,0.05,0.33,5,75,752082,187608,38825
26,3,6,True,77,8,1,0,0,1,2,38,0,0.27,0.27,0.54,0.27,1,75,686572,72519,141389
26,4,20,False,90,1,0,0,1,0,0,0,1,0.34,0.02,0.36,1.80,2,75,871717,195764,77287
26,5,5,False,90,2,0,0,0,3,0,5,0,0.78,0.02,0.80,1.31,3,76,915557,147342,102971
31,1,7,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,1206127,0,0
31,2,2,False,11,1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,1,45,1061562,49821,229587
31,3,6,True,90,4,0,0,0,1,0,15,0,0.00,0.01,0.01,0.39,10,44,1139279,270872,199146
31,4,20,False,90,6,0,0,1,0,0,16,0,0.00,0.00,0.00,1.80,8,45,1867300,709520,96845
31,5,5,False,90,1,0,0,0,3,0,2,0,0.23,0.01,0.24,1.31,4,45,2062931,343094,65530
452,1,7,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,70,391151,0,0
452,2,2,False,19,1,0,0,0,0,0,4,0,0.00,0.01,0.01,0.00,3,69,265263,850,126555
452,3,6,True,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,68,212586,5546,62782
452,4,20,False,45,7,1,0,0,0,1,29,0,0.09,0.14,0.23,1.57,3,68,181073,2351,37853
452,5,5,False,59,1,0,0,0,3,0,12,0,0.00,0.01,0.01,0.61,6,67,192568,16199,9883
557,1,7,True,75,6,0,1,1,0,0,30,0,0.19,0.14,0.33,0.06,6,65,2247384,0,0
557,2,2,False,45,0,0,0,0,0,0,1,1,0.00,0.01,0.01,0.10,3,65,2597617,236687,55700
557,3,6,True,90,5,0,1,0,1,1,31,1,0.00,0.20,0.20,0.39,8,65,1889271,91384,693324
557,4,20,False,80,3,0,0,1,0,0,10,0,0.00,0.13,0.13,1.41,3,64,1659753,82691,411246
557,5,5,False,72,2,0,0,0,3,0,9,0,0.00,0.07,0.07,0.77,3,64,1417272,39605,302938
