id,web_name,first_name,second_name,team,pos,now_cost,total_points,event_points,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clean_sheets,goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,bonus,bps,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,own_goals,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,chance_of_playing_next_round,chance_of_playing_this_round,status,news,news_added,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,cost_change_event,cost_change_start,form,points_per_game,ep_next,ep_this,value_season,team_name,price
578,Mudryk,Mykhailo,Mudryk,TOT,MID,53,1,0,16,0,0,0,0.00,0.00,0.00,0.16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,0,0,i,Ankle injury - Unknown return date,2026-09-11T18:00:09.154412Z,0.0,18,488,5438,7536,-1,-2,0.2,1.0,0.0,0.0,0.2,Spurs,5.3
601,Williams-Barnett,Luca,Williams-Barnett,TOT,MID,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,a,,,0.1,141,648,10223,6931,0,0,0.0,0.0,0.0,0.0,0.0,Spurs,4.5
501,Danso,Kevin,Danso,SUN,DEF,50,3,0,270,3,0,0,0.07,0.17,0.24,5.91,0,8,20,19,11,1,0,7,0,0,0,0,0,0,,,,,,a,,,0.2,997,685,6422,9722,0,0,0.8,1.0,0.8,0.8,0.6,Sunderland,5.0
529,Roefs,Robin,Roefs,SUN,GK,49,11,0,450,5,0,0,0.00,0.01,0.01,8.66,1,10,0,7,35,0,0,41,0,0,6,0,0,0,,,,,,a,,,2.5,1774,9548,21623,175673,0,-1,2.5,2.2,2.5,2.5,2.2,Sunderland,4.9
530,Patterson,Anthony,Patterson,SUN,GK,40,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,u,Has joined Wrexham permanently,2026-08-12T14:08:03.064533Z,0.1,0,295,0,5947,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.0
531,Ellborg,Melker,Ellborg,SUN,GK,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,a,,,0.1,108,208,1147,3289,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.5
532,Ballard,Daniel,Ballard,SUN,DEF,49,14,2,450,5,0,0,0.31,0.16,0.47,8.66,1,10,49,39,12,10,0,31,2,0,0,0,0,0,,,,,,a,,,2.5,3292,12900,45191,313468,0,-1,3.5,2.8,3.5,3.5,2.9,Sunderland,4.9
533,Mukiele,Nordi,Mukiele,SUN,DEF,54,13,0,360,4,0,0,0.75,0.28,1.03,6.86,1,8,48,35,16,13,1,44,1,0,0,0,0,0,,,,100,100,a,,2026-08-09T08:30:05.954750Z,1.9,4420,7411,43751,128516,0,-1,3.2,3.2,3.2,3.2,2.4,Sunderland,5.4
534,Hume,Trai,Hume,SUN,DEF,43,10,1,206,2,0,0,0.14,0.29,0.43,4.57,1,2,13,3,12,10,0,44,0,0,0,0,0,0,,3,,,,a,,,2.8,1061,26406,37687,394081,-1,-2,2.0,2.5,2.0,2.0,2.3,Sunderland,4.3
535,Alderete,Omar,Alderete,SUN,DEF,48,1,0,23,0,0,0,0.00,0.01,0.01,0.10,0,1,0,0,2,0,0,2,0,0,0,0,0,0,,,,100,100,a,,2026-08-09T08:30:05.962393Z,0.2,187,905,4941,27181,-1,-2,0.0,1.0,0.0,0.0,0.2,Sunderland,4.8
536,Reinildo,Reinildo,Mandava,SUN,DEF,44,7,0,360,4,0,0,0.00,0.32,0.32,5.05,1,5,29,21,18,8,0,37,0,1,0,0,0,0,,,,100,0,a,,2026-09-12T21:30:09.421687Z,0.3,149,1431,4012,24231,-1,-1,1.5,1.8,1.5,0.0,1.6,Sunderland,4.4
537,Seelt,Jenson,Seelt,SUN,DEF,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,u,Has joined Swansea City on loan for the rest of the season,2026-08-29T00:34:52.425076Z,0.0,0,18,61,660,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.5
538,Hjelde,Leo Fuhr,Hjelde,SUN,DEF,40,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,u,Has joined KV Mechelen on loan for the rest of the season,2026-08-12T14:08:03.081789Z,0.0,0,129,0,2500,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.0
539,O'Nien,Luke,O'Nien,SUN,DEF,39,1,0,66,1,0,0,0.01,0.01,0.02,1.69,0,1,5,4,4,1,0,1,1,0,0,0,0,0,,,,,,a,,,2.5,14836,9629,29579,119529,-1,-1,0.0,1.0,0.0,0.0,0.3,Sunderland,3.9
540,Masuaku,Arthur,Masuaku,SUN,DEF,40,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,u,Has joined Konyaspor permanently,2026-08-12T14:08:03.097784Z,0.1,0,543,0,11476,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.0
541,Meunier,Thomas,Meunier,SUN,DEF,45,14,3,396,5,0,1,0.34,0.58,0.92,5.94,1,8,20,16,15,4,0,42,0,0,0,0,0,0,,,,100,100,a,,2026-08-16T08:30:07.830062Z,0.3,1414,679,6815,9431,0,0,3.2,2.8,3.2,3.2,3.1,Sunderland,4.5
542,E.Le Fée,Enzo,Le Fée,SUN,MID,57,18,5,438,5,1,1,2.06,1.34,3.40,8.46,1,9,21,3,11,7,1,90,0,0,0,0,1,0,2,1,3,,,a,,,3.4,9424,20674,42996,647249,-1,-3,4.0,3.6,4.0,4.0,3.2,Sunderland,5.7
543,Diarra,Habib,Diarra,SUN,MID,54,5,0,28,0,0,1,0.03,0.16,0.19,0.12,0,1,0,0,0,0,0,18,0,0,0,0,0,0,1,,,0,0,i,Hamstring injury - Unknown return date,2026-08-30T16:30:08.428960Z,0.0,7,171,545,5854,0,-1,1.0,2.5,0.0,0.0,0.9,Sunderland,5.4
544,Xhaka,Granit,Xhaka,SUN,MID,55,21,2,450,5,0,1,0.06,1.32,1.38,8.66,1,10,54,12,33,9,5,116,2,0,0,0,0,0,,2,2,,,a,,,3.6,5194,20312,129726,205401,0,0,3.0,4.2,3.0,3.0,3.8,Sunderland,5.5
545,Sadiki,Noah,Sadiki,SUN,MID,49,10,2,410,5,0,0,0.44,0.24,0.68,6.47,1,9,29,11,12,6,0,75,1,0,0,0,0,0,,,,,,a,,,0.2,348,1152,5661,18177,0,-1,2.0,2.0,2.0,2.0,2.0,Sunderland,4.9
546,Adingra,Simon,Adingra,SUN,MID,49,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,u,Has joined Ajax on loan for the rest of the season,2026-08-20T14:00:08.416985Z,0.0,0,170,240,7398,0,-1,0.0,0.0,0.0,0.0,0.0,Sunderland,4.9
547,Mundle,Romaine,Mundle,SUN,MID,49,1,0,1,0,0,0,0.17,0.00,0.17,0.09,0,0,1,1,0,0,0,2,0,0,0,0,0,0,,,,0,0,i,Knee injury - Unknown return date,2026-09-09T14:00:08.462705Z,0.0,8,48,199,666,0,-1,0.2,1.0,0.0,0.0,0.2,Sunderland,4.9
548,Rigg,Chris,Rigg,SUN,MID,49,2,0,17,0,0,0,0.00,0.00,0.00,0.44,0,1,1,0,1,0,0,6,0,0,0,0,0,0,,,,,,a,,,0.0,25,196,462,2816,0,-1,0.2,1.0,0.2,0.2,0.4,Sunderland,4.9
549,Talbi,Chemsdine,Talbi,SUN,MID,53,1,0,31,0,0,0,0.00,0.00,0.00,0.14,0,1,2,0,2,0,0,1,0,0,0,0,0,0,,,,,,a,,,0.1,93,480,1326,11700,0,-2,0.0,1.0,0.0,0.0,0.2,Sunderland,5.3
550,Jocelin.T,Djiamgone Jocelin Ta,Bi,SUN,MID,50,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,a,,,0.0,24,35,298,416,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,5.0
551,N.Angulo,Nilson,Angulo,SUN,MID,50,16,4,313,5,1,1,0.60,0.13,0.73,4.56,1,7,24,5,14,5,0,67,1,0,0,0,0,0,,,1,,,a,,,0.1,433,657,12712,10445,0,0,2.8,3.2,2.8,2.8,3.2,Sunderland,5.0
552,Brobbey,Brian,Brobbey,SUN,FWD,57,24,17,399,5,3,0,2.94,0.11,3.05,8.18,1,9,11,1,10,0,3,113,1,0,0,0,0,0,,,,,,a,,,7.0,181114,24469,272572,910641,-1,-3,5.5,4.8,5.5,5.5,4.2,Sunderland,5.7
553,Isidor,Wilson,Isidor,SUN,FWD,55,15,1,117,0,1,1,1.49,0.01,1.50,3.78,0,3,5,0,3,2,3,51,0,0,0,0,0,0,,,,,,a,,,1.3,2156,10181,94458,85335,0,0,3.5,3.0,3.5,3.5,2.7,Sunderland,5.5
612,Methalie,Dayann,Méthalie,SUN,DEF,45,-1,-1,90,1,0,0,0.03,0.01,0.04,2.82,0,5,3,2,4,1,0,-8,1,0,0,0,0,0,,,,100,100,a,,2026-08-28T13:00:08.950445Z,0.0,92,53,881,479,0,0,-0.2,-1.0,-0.2,-0.2,-0.2,Sunderland,4.5
613,Ahoka,Jules,Ahoka,SUN,MID,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,a,,,0.2,506,1387,25301,14085,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.5
646,Fofana,Malick,Fofana,SUN,MID,55,3,1,60,0,0,0,0.39,0.01,0.40,3.25,0,2,3,0,2,1,0,11,0,0,0,0,0,0,,,,,,a,,,0.0,279,263,4015,1691,0,0,1.0,1.0,1.0,1.0,0.5,Sunderland,5.5
651,J.Angulo,Juan,Angulo,SUN,FWD,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,a,,,0.7,7466,6238,89334,29253,0,0,0.0,0.0,0.0,0.0,0.0,Sunderland,4.5
