id,web_name,team,pos,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,saves,defensive_contribution,expected_goals,expected_assists,expected_goals_conceded
248,Beto,EVE,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
249,Barry,EVE,FWD,90,6,1,0,1,0,0,28,0,0,0,5,0.52,0.01,1.44
250,Leno,FUL,GK,90,3,0,0,0,1,0,18,0,0,5,0,0.00,0.00,1.60
251,Lecomte,FUL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
252,McNally,FUL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
253,Andersen,FUL,DEF,10,1,0,0,0,1,0,0,0,0,0,5,0.00,0.00,0.36
254,Robinson,FUL,DEF,90,2,0,0,0,1,0,19,0,0,0,7,0.00,0.09,1.60
255,J.Cuenca,FUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
256,Tete,FUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
257,Bassey,FUL,DEF,90,6,0,1,0,1,1,26,0,0,0,8,0.06,0.01,1.60
258,Castagne,FUL,DEF,90,1,0,0,0,1,0,3,1,0,0,9,0.00,0.01,1.60
259,Diop,IPS,DEF,90,4,0,0,0,1,0,13,0,0,0,10,0.06,0.01,2.24
260,Wilson,LEE,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
261,Iwobi,FUL,MID,70,5,0,0,1,0,2,27,0,0,0,7,0.19,0.41,1.12
262,Smith Rowe,FUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
263,Kevin,FUL,MID,19,1,0,0,0,1,0,6,0,0,0,2,0.04,0.00,0.49
264,Bobb,FUL,MID,70,3,0,0,1,0,0,6,0,0,0,6,0.22,0.09,1.12
265,Berge,FUL,MID,76,3,0,0,1,0,0,16,0,0,0,2,0.05,0.02,1.18
266,Cairney,FUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
267,Lukić,IPS,MID,72,2,0,0,0,1,0,14,0,0,0,6,0.00,0.25,1.76
268,King,FUL,MID,79,2,0,0,1,0,0,10,1,0,0,5,0.38,0.03,1.25
269,Sessegnon,FUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
270,Reed,FUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
271,Muniz,FUL,FWD,10,0,0,0,0,1,0,-1,1,0,0,1,0.00,0.00,0.36
272,Kusi-Asare,FUL,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
273,Phillips,HUL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
274,Butland,HUL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
275,Cartwright,HUL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
276,Lo-Tutala,HUL,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
277,Egan,HUL,DEF,77,1,0,0,0,2,0,2,0,0,0,4,0.01,0.00,1.31
278,Hughes,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
279,Ajayi,HUL,DEF,90,1,0,0,0,2,0,5,0,0,0,4,0.01,0.01,1.44
280,Coyle,HUL,DEF,90,1,0,0,0,2,0,3,0,0,0,2,0.00,0.04,1.44
281,Drameh,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
282,Giles,HUL,DEF,90,0,0,0,0,2,0,-1,1,0,0,5,0.00,0.08,1.44
283,Jacob,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
284,McCarthy,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
285,McNair,HUL,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
286,Belloumi,HUL,MID,82,4,0,1,0,2,0,22,1,0,0,11,0.35,0.31,1.31
287,Millar,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
288,Dowell,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
289,Crooks,HUL,MID,45,0,0,0,0,2,0,6,1,0,0,2,0.00,0.12,1.19
290,Slater,HUL,MID,77,2,0,0,0,2,0,9,0,0,0,3,0.13,0.03,1.31
291,Matazo,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
292,Ömür,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
293,Kamara,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
294,Zambrano,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
295,McBurnie,HUL,FWD,90,1,0,0,0,2,0,5,1,0,0,6,0.36,0.02,1.44
296,Akintola,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
297,Gyabi,HUL,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
298,Destan,HUL,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
299,Burstow,HUL,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
300,Walton,IPS,GK,90,2,0,0,0,1,0,10,0,0,1,0,0.00,0.01,2.24
301,Palmer,IPS,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
302,Button,IPS,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
303,Kipré,IPS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
304,O'Shea,IPS,DEF,90,2,0,0,0,1,0,12,0,0,0,9,0.00,0.00,2.24
305,Davis,IPS,DEF,90,2,0,0,0,1,0,2,0,0,0,5,0.42,0.02,2.24
306,Greaves,IPS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
307,Johnson,IPS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
308,Furlong,IPS,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
309,Núñez,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
310,Matusiwa,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
311,Burns,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
312,Taylor,IPS,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
313,Clarke,IPS,MID,65,2,0,0,0,1,0,10,0,0,0,4,0.00,0.33,1.68
